Yeast Gene,Arabidopsis thaliana,Neocallimastix frontalis,Glomus intraradices,Schizosaccharomyces pombe,Saccharomyces cerevisiae,Yarrowia lipolytica,Neurospora crassa,Ustilago maydis,Candida albicans,Schistosoma mansoni,Caenorhabditis elegans,Aedes aegypti,Drosophila melanogaster,Strongylocentrotus purpuratus,Ciona intestinalis,Danio rerio,Xenopus laevis,Gallus gallus,Macaca mulatta,Pan troglodytes,Homo sapiens,Canis lupus familiaris,Oryctolagus cuniculus,Mus musculus,Rattus norvegicus,
Q06490,"Q8L7M9;Q5M731",,,"O94266;O94265;Q9USL6","Q06490;Q08975;Q08224",,"P79048;Q7SBV9",,"Q5AHA7",,,,,,,,,,,,,,,,,
P40213,,,,,"P40213",,,,,,,,,,,,,,,,,,,,,
P35197,,,,"O94601","P35197","Q6CD82","Q7S8Q7",,"Q59W09;Q59VX5",,,,,,,,,,,,,,,,,
P32504,,,,,"P32504;Q66R97",,,,,,,,,,,,,,,,,,,,,
Q04835,,,,,,,,,,,,,,,,,,,,,,,,,,
P49435,,,,"O42842","P36973;P49435",,"Q7SCM0",,,,"P91455",,"P12426",,,,,,,,,,,,,
P08432,,,,"Q9UQW9;P78829","P08432","Q8WZM1","P27121","Q4PFR5;O14439","P78599",,,,"P40807",,,,,,,,,,,,,
P40009,,,,,"P40009","Q6CBD9",,,"Q5A1A4",,,,,,,,,,,,,,,,,
P33413,,,,"O94469","P33413","Q6CFS8;Q6CBT1","Q7S147",,"Q59VF2",,,,,,,,,,,,,,,,,
P38924,,,,,,,,,,,,,,,,,,,,,,,,,,
P15646,,,,"P35551","P15646","Q6CBS8","Q9HE26",,"Q5A0V9",,,,,,,,,,,,,,,,,
P35201,,,,,"P35201",,,,"Q5ABZ9",,,,,,,,,,,,,,,,,
Q12234,,,,,,,,,,,,,,,,,,,,,,,,,,
P53320,,,,,"P53320",,,,,,"Q09461","Q17LJ4",,,,"Q6DHC3","Q6DFK2",,,,,,,,,
P21242,"O23715",,,"O59770","P21242","Q6C2J2","Q7SG71","Q4P537","Q3MPJ3;Q5AGV6",,,"Q17EA3","Q9V5C6",,,"Q4V918","Q6PE96","Q5ZLI2",,,"P25788;Q6IB71;Q8TAA3",,,"O70435;Q9DCD8","P18422",
P05626,,,,"O94373","P05626;Q6B1V4","Q6C105","Q7SE71",,"Q59ZE0",,,,,,,,,,,,,,,,,
Q8TGS2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E833,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12015,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03774,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04438,,,,,,,,,,,,,,,,,,,,,,,,,,
P21306,,,,"P87316","Q2XN67;P21306",,"Q8WZW6","Q4P326",,,,,"Q9VH24;Q8IR24;Q9VXN2",,,,,,,,,,,,,
P47108,,,,,"P47108",,,,,,,,,,,,,,,,,,,,,
P53688,,,,"Q9UR39","P53688",,"Q7SCK0",,,,,,,,,,,,,,,,,,,
P25348,,,,,"P25348","Q6CB87",,,"Q5A6K5",,,,,,,,,,,,,,,,,
P53301,,,,,"P53301",,"Q7S0F8",,,,,,,,,,,,,,,,,,,
P07279,,,,"Q10192;Q8TFH1","P07279","Q6CFA4","Q7RXJ4","Q4PEY9","Q5ANC2",,,,,,,,,,,,,,,,,
P40498,"Q8H1E7;Q93ZS0",,,,"P40498",,,,,,,,,,,"Q6PEH4",,"Q5ZLG3",,,"Q68CQ4",,,"Q8BTT6","Q5M9G7",
P53277,,,,"O59733","P53277",,,,,,,,,,,,"Q8AVQ6",,,,"O95926",,,"Q9D198",,
P36149,"Q9FFV2",,,"Q9P6P5","P36149","Q6CCJ8","Q7S5P7","Q4PF23","Q5A0J4",,,,,,,,,,,,,,,,,
Q12500,,,,,,,,,,,,,,,,,,,,,,,,,,
P25653,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12155,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06199,"Q93WM0",,,,"Q06199",,,,,,,,,,,,,,,,,,,,,
Q3E7A4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12301,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TGT1,,,,,,,,,,,,,,,,,,,,,,,,,,
P20048,,,,,,,,,,,,,,,,,,,,,,,,,,
P40957,,,,,"P40957",,"Q7RZ46",,"Q59PD6",,,,,,,,,,,,,,,,,
P53235,,,,"O74965","P53235","Q6CCJ4",,"Q4P692",,,"Q19052",,"Q9VNX8",,,"Q4QRJ7","Q7ZY11","Q5ZKC1",,,"Q9BY44",,,"Q8BJW6",,
P38164,,,,,"P38164",,,,"Q5ANK4",,,,,,,,,,,,,,,,,
P0C2I5,,,,,,,,,,,,,,,,,,,,,,,,,,
P53057,,,,,"P53057",,,,,,,,,,,,,,,,,,,,,
P32585,,,,,"P32585","Q6CDK1",,,"Q59X40",,,,,,,,,,,,,,,,,
P02365,,,,"P05752;Q9C0Z7","P02365","Q6C169","Q7SC99","Q4PGV4",,,,,,,,,,,,,,,,,,
Q99288,"O04035",,,,"Q99288",,"Q872V1",,,,,,,,,,,,,,,,,,,
P42073,,,,,"P42073",,,,,,,,,,,,,,,,,,,,,
P40063,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06078,"Q9ZPH3;Q93YS7",,,"O14053","Q06078","Q6CES2",,,,,"O62477",,"Q9VFV8;Q960D6",,,"Q6DRC9;Q6PFK6","Q801Q6","Q5ZHX4",,,"Q8NI36",,,"Q505Q0",,
Q06144,,,,,,,,,,,,,,,,,,,,,,,,,,
P38310,,,,,"P38310",,,,"Q5AQ06;Q5APG3",,,,,,,,,,,,,,,,,
P53055,,,,,,,,,,,,,,,,,,,,,,,,,,
P38705,"Q944K1;Q3EDE0;Q8RWT8;O65395",,,"Q9UTB2","P38705","Q6CFL2","Q7SBY2;Q873L4","Q4P8R1","Q59RK3",,"O45887",,"Q9VF85",,,"Q7SXG8",,,,,"Q9NP81",,,"Q68FL2;Q9JJL8",,
Q07729,,,,,"Q07729","Q6C4L7","Q7SA53",,"Q5AFN9",,,,,,,,,,,,,,,,,
P41810,,,,"Q9UUF7","P41810","Q6C157","Q7RZ70","Q4P952","Q5A6M6",,"Q9TYL9","Q17CI5","P45437",,,"Q6JWU8;Q66HV4","Q6GNR5;Q498K6","Q5ZIA5",,,"P53618",,,"Q3T9Y4;Q9JIF7","P23514",
P53215,"Q9ZV61",,,"Q9Y7T3","P53215","Q6C6G1","Q7SDM8",,,,,"Q16HG4","Q9V3N8",,,"Q5U3V1","Q5U4J8","Q5ZIR4",,,"Q9NWX6",,,"Q9CY52;Q9CQT0;Q8BT63","Q5M965",
P40102,,,,,,,,,,,,,,,,,,,,,,,,,,
P54005,,,,,"P54005;Q08909",,,,,,,,,,,,,,,,,,,,,
P23369,,,,"Q9UUJ5","P23369","Q6C834","Q7SEK9",,"Q5ACG8",,,,,,,,,,,,,,,,,
P41896,,,,"O94424","P41896","Q6C1J3","Q7SD24","Q4PA02","Q5ACV6",,"Q8MYM8","Q16HK5","P41900",,,"Q568N8;Q6IQG2","Q03123",,,,"P13984",,,,"Q01750;Q63489",
P53916,,,,,"P53916","Q6CCA7","Q7SAI0",,"Q59LZ6",,,,"Q9W2F3",,,,,,,,,,,,,
P20676,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04749,"Q9ZT73",,,,"Q04749",,,,,,"Q21920",,,,,,,,,,"O75762",,,,,
P40013,,,,"Q10113","P40013","Q6CGL9","Q7RZW8","Q8NIP6","Q59W48",,,,,,,,,,,,,,,,,
P38123,,,,"O43017","P38123","Q6C0A7","Q7SCM7",,"Q59SB4;Q59S83",,,,,,,,,,,,,,,,,
P32386,,,,,"P32386",,,,,,,,,,,,,,,,,,,,,
Q04437,,,,,"Q04437",,,,,,,,,,,,,,,,,,,,,
P40531,,,,"Q10253","P40531","Q6CDU5",,"Q4P8M4","Q5A473",,,,,,,,,,,,,,,,,
P26570,,,,"P78968","P33329;P26570","Q6C467","O94748;Q7RW12","Q4P4Y6","Q59U06",,,,,,,,,,,,,,,,,
P46948,"Q9SP08",,,"O42872","P46948","Q6CA11","Q7SEC2","Q4P9I6","Q5AMR4",,"Q17533","Q16KB4","Q8SYC8;Q9VK19",,,"Q6PBZ8","Q5PQ94",,,,"Q9NPD3",,,"Q542B0;Q921I9",,
Q3E7B9,,,,,,,,,,,,,,,,,,,,,,,,,,
P38244,,,,,"P38244","Q6CDE6","Q9C2E0",,,,,,,,,,,,,,,,,,,
P25584,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12189,,,,"Q9UTL3","Q12189","Q6CFH4","Q7SB46","Q4P6V4","Q5AJ92",,"P41994","Q16PI0","Q8MLS2",,,"Q5U3H4;Q6NXA0","Q6NTL0","Q5ZI35",,,"P49247;Q53R32",,,"P47968",,
P39563,,,,,,,,,,,,,,,,,,,,,,,,,,
P32907,,,,,"P32907",,,,,,,,,,,,,,,,,,,,,
P16649,,,,"Q09715;Q9UUG8","P16649","Q8WZL8","P78706",,"P56093",,,,,,,,,,,,,,,,,
P23250,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07533,,,,,"Q07533",,,,,,,,,,,,,,,,,,,,,
P41806,,,,,,,,,,,,,,,,,,,,,,,,,,
P40992,,,,,"P40992",,,,,,,,,,,,,,,,,,,,,
P48569,,,,,"P48569","Q6C9B6","Q7S9D0","Q4PHM2","Q5AJB5",,,,,,,,,,,,,,,,,
P40552,,,,,"P40552",,,,,,,,,,,,,,,,,,,,,
Q3E791,,,,,,,,,,,,,,,,,,,,,,,,,,
P53274,,,,,"P53274",,,,,,,,,,,,,,,,,,,,,
P47097,,,,,"Q04706;O74302;Q12217;Q03964;Q12266;Q12162;O13528;Q04215;Q12391;Q12085;Q99209;P47099;Q12441;Q03856;Q92392;Q6Q5H1;P08405;Q12470;Q12231;Q12485;P47097",,,,,,,,,,,,,,,,,,,,,
P46956,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08886,,,,,,,,,,,,,,,,,,,,,,,,,,
P20050,,,,,"P20050",,,,,,,,,,,,,,,,,,,,,
P40506,"Q9LNB1;Q9LZM3;Q8GXR5",,,"Q9USK7","P40506","Q6CCS2","Q7SFR0","Q4P864",,,"Q9BL36","Q16H33","Q9XYZ8",,,"Q1JPU8","Q6GP72",,,,"Q9HAB8",,,"Q8VDG5",,
P47164,,,,"O74314","P47164;Q04533;Q12198",,,,,,,,,,,,,,,,,,,,,
Q03429,,,,,"Q03429","Q6CHK8","Q9P3Q9",,,,,,,,,,"Q63ZL0;Q4QQY2",,,,"Q5U5X0",,,"Q9DA03",,
P40961,,,,"Q9P7H3","P40961","Q6C708","Q871J5;Q1K6R7","Q4P8R0","Q5AEB1;Q59SS4",,,,,,,,,,,,,,,,,
P38153,,,,"O94669","P38153","Q6C8Q7",,,"Q59RK0",,,,,,,,,,,,,,,,,
P47039,,,,"O14209","P47039","Q6C490","Q8NIT2","Q4P4X1","Q5A0K2",,,,,,,,,,,,,,,,,
P38307,,,,,,,,,,,,,,,,,,,,,,,,,,
P07252,,,,,,,,,,,,,,,,,,,,,,,,,,
P23285,,,,,,,,,,,,,,,,,,,,,,,,,,
P43594,,,,,"P43594",,,,,,,,,,,,,,,,,,,,,
P27466,,,,"Q9P7I2","P27466;P22517","O93955","Q96UI7",,,,,,,,,,,,,,,,,,,
P40094,,,,,"P40094","Q6C1B6",,,"Q59WC9",,,"Q16ZN9",,,,,,,,,"Q96JB2",,,"Q8CI04",,
Q12165,"Q96252",,,"Q9P6R6","Q12165",,"P56525","Q4PFL0","Q5ACG5",,"Q09544","Q17I02;Q17I03","Q9W2X6",,,"Q6P1J5;Q1LVG7","Q66KY9",,,,"P30049;Q6FG90",,,"Q4FK74;Q9D0J2;Q9D3D9;Q9DCZ0","P35434",
P40152,,,,,"P40152","Q6C3G8",,,,,,,,,,,,,,,,,,,,
Q04223,,,,,"Q04223",,"Q7S759;Q872K0",,"Q5ACZ1",,"Q9BI82","Q1DGK3;Q17DR5","Q8MR71;Q94915",,,,,,,,,,,,,
Q06593,,,,,"Q06593","Q6CFY8;Q6C293;Q6C271;Q6BZY0;Q6CIA8;Q6C160;Q6C5C2;Q6C1S1;Q6C5J4;Q6CC98;Q6CFQ8;Q6CG01;Q6CB98",,,,,,,,,,,,,,,,,,,,
P40547,,,,,"P40547",,,,,,,,,,,,,,,,,,,,,
Q12375,,,,"O59674","Q12375","Q6CA10","Q01356",,,,,,,,,,,,,,,,,,,
P36144,,,,"Q9Y7R7","P36144","Q6C0Z9",,,"Q59LH9;Q59LJ2",,,,,,,,,,,,,,,,,
Q12009,"Q8GXB7",,,"Q96WV1","Q12009","Q6CE12","Q7RZC1;Q6M8Z9",,"Q5A692",,"Q23126","Q0IEN3","O77263",,,"Q5XJ57","Q6NU94",,,,"Q9UBP6",,,"Q3TU83",,
P21375,,,,,"P21375",,,,,,,,,,,,,,,,,,,,,
Q03690,,,,,"Q03690",,,,"Q59MA9",,,,,,,,,,,,,,,"Q3V3Q8;Q3U014;Q3U4M5",,
P02994,,,,"P50522;Q10119","P02994","O59949","Q01372","Q4PG39","Q59QD6;P16017;Q59K68;Q5A743",,,,,,,,,,,,,,,,,
P32351,,,,,"P32351",,,,,,,,,,,,,,,,,,,,,
Q05790,,,,,"Q05790",,,,,,,,,,,,,,,,,,,,,
P38274,"Q8GWT4",,,"P78963","P38274","Q6C5F5","Q7RV54;Q9P5Z7",,,,"P46580","Q171P3","Q9U6Y9",,,"Q503E3","Q2VPH9;Q5U491;Q6NUA1","Q5ZJZ9",,,"O14744",,,"Q8CIG8",,
P34164,,,,,,,,,,,,,,,,,,,,,,,,,,
P43537,,,,,,,,,,,,,,,,,,,,,,,,,,
P32863,,,,"P41410","P32863","Q6CFF5","Q7RVS3;Q9P978","Q4PCT0","Q5AKX3",,,,,,,,,,,,,,,,,
P53039,,,,"O94348","P53039","Q6CA93",,,"Q5AK69",,,,,,,,,,,,,,,,,
P31111,,,,,"P31111",,,,,,,,,,,,,,,,,,,,,
Q02598,,,,,,,,,,,,,,,,,,,,,,,,,,
P40028,,,,,"P40028",,,,"Q59QP4;Q59QM2",,,,,,,,,,,,,,,,,
Q3E768,,,,,,,,,,,,,,,,,,,,,,,,,,
P36224,,,,,"P36224",,,,"Q5AK45",,,"Q1HQF2","Q7K2D2",,,,"Q6IRB3;Q66J30","Q9PTG6",,,"Q53H88",,,,,
P39546,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04751,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06142,"Q9FJD4",,,"O13864","Q06142","Q6C9D2","Q7SFM1;Q6MVV0","Q4PBY8",,,,,,,,,,,,,"Q14974",,,,,
Q3E821,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04898,,,,,"Q04898",,,,,,,,,,,,,,,,,,,,,
Q12150,,,,,,,,,,,,,,,,,,,,,,,,,,
P53079,,,,,,,,,,,,,,,,,,,,,,,,,,
P0C2I9,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03213,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07953,,,,"O14179","Q07953","Q6C0F0",,"Q4P379","Q5AF99",,,,,,,,,,,,,,,,,
P40553,,,,,,,,,,,,,,,,,,,,,,,,,,
P26370,,,,,"P26370;P40971","Q6C8E2","Q871L9;Q7RWF9",,"O93999;Q5ABD2",,,,,,,,,,,,,,,,,
P38333,,,,"O60071","P38333","Q6CD31","Q7SA65",,"Q59LC3",,,,,,,,,,,,"Q13895",,,,,
P39692,,,,"Q09878","A0SXI7;A0SXI6;A0SXI5;A0SXI4;A0SXI9;P39692;A0SXJ0;A0SXJ1","Q6C5P4","Q7RZE3","Q4P8I7","Q59X55",,,,,,,,,,,,,,,,,
P38255,,,,,"P38255",,,,,,,,,,,,,,,,,,,,,
P38193,,,,,,,,,,,,,,,,,,,,,,,,,,
P53078,,,,,,,,,,,,,,,,,,,,,,,,,,
P47016,"Q9LE50;Q94JV5",,,"O94660","Q71SQ0;P47016","Q6C005","Q7S4R5",,"Q5A428",,"O76463","Q17CS4;Q16KC3","O76464",,,"Q66IE6","Q66KS6;Q9I8G0",,,,"Q86X76",,,"Q9R1N4;Q8VDK1","Q5PQK6;Q7TQ94",
P35176,,,,,"P35176",,,,,,,,,,,,,,,,,,,,,
P43597,,,,,"P43597",,"Q7SGP1","Q4P347","Q59WW0",,,,,,,,,,,,,,,,,
P39515,"Q9LYG1;Q6S709;Q8LAB0",,,"P87130","P39515",,"P59670",,"Q59LI2",,,,,,,,,,,,,,,,,
Q8TGU2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12255,,,,,"Q12255","Q6CFT6","Q7S9T6","Q4PHX9","Q5ACX8",,,,,,,,,,,,,,,,,
P36037,"Q3E7Q5;Q9LHN3",,,"O94289","P36037","Q6C9H6","Q7SFF1","Q4P9A4",,,,"Q175G1","Q9VPY2",,,"Q7SXM2","Q6GM65;Q08B76",,,,"Q9Y263",,,"P27612","P54319",
P40032,,,,"Q11120","P40032","Q6CDU6","Q7SCL7","Q4PDG4","Q59P19;Q59P02",,"Q09973","Q171Z2","Q9I7H9",,,"Q7SXF7","Q6DE73",,,,"Q8N543",,,"Q3U0K8",,
P36084,,,,,,,,,,,,,,,,,,,,,,,,,,
P48570,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08224,"Q5M731;Q8L7M9",,,"O94266;O94265;Q9USL6","Q08975;Q08224;Q06490",,"Q7SBV9",,"Q5AHA7",,,,,,,,,,,,,,,,,
P22470,,,,,,,,,,,,,,,,,,,,,,,,,,
P53616,,,,,,,,,,,,,,,,,,,,,,,,,,
P49723,,,,,"P49723",,,,,,,,,,,,,,,,,,,,,
P38328,,,,"P78774","P38328","Q6CE98","Q7SE13","Q4P1V7","Q59VC4;Q59V79",,,,,,,,,,,,,,,,,
Q3E7A3,,,,,,,,,,,,,,,,,,,,,,,,,,
P53950,,,,,,,,,,,,,,,,,,,,,,,,,,
P39946,,,,,"P39946",,,,"Q5A7Q6",,,"Q17N69","Q7KNS3",,,,,,,,,,,,,
Q05778,,,,,"Q05778",,,,,,,,,,,,,,,,,,,,,
Q8TGS7,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12007,,,,"Q8NKC2","P42222;Q12007",,,,,,,,,,,,,,,,,,,,,
Q12231,,,,,"Q04706;O74302;Q12217;Q03964;Q12266;Q12162;O13528;Q04215;Q12391;Q12085;Q99209;P47099;Q12441;Q03856;Q92392;Q6Q5H1;P08405;Q12470;Q12231;Q12485;P47097",,,,,,,,,,,,,,,,,,,,,
Q07747,,,,,"P42884;P25612;Q07747",,"Q7S8R6",,,,,,,,,,,,,,,,,,,
P06104,,,,"P23566","P06104","Q6C093","P52493","Q4PFA5","O74201",,"P52478",,"Q9VTY6",,,,,,,,,,,,"Q6AXR9",
P38859,,,,"Q9URU2","P38859","Q6C3N5",,,"Q59RL2",,,,,,,,,,,,,,,,,
P04046,,,,"P41390","P04046","Q6CEI8","Q8NIX3",,,,,,,,,,,,,,,,,,,
P40092,,,,,,,,,,,,,,,,,,,,,,,,,,
P50109,,,,,"P50109",,,,,,,,,,,,,,,,,,,,,
Q06188,,,,,"Q06188",,,,,,,,,,,,,,,,,,,,,
P53254,"Q0WVM5;Q9CAJ5",,,"O94676","P53254","Q6C3W6","Q7S1X8","Q4P950","Q5ALK9;Q5AM06",,"Q95XY4","Q17D12","Q8IH00",,,,"Q6NRY2",,,,"B4DF80",,,"Q8R5K4",,
P25591,,,,,,,,,,,,,,,,,,,,,,,,,,
P10080,,,,,"P10080",,,,"Q5ANP6",,,,,,,,,,,,,,,,,
Q12305,,,,,"Q12305;Q08742",,"Q7S8K6",,,,,,,,,,,,,,,,,,,
Q3E7Z5,,,,,,,,,,,,,,,,,,,,,,,,,,
P47129,,,,,,,,,,,,,,,,,,,,,,,,,,
P32356,,,,,"P32356;P35172",,,,,,,,,,,,,,,,,,,,,
P38232,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12057,,,,,,,,,,,,,,,,,,,,,,,,,,
P53895,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E747,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02207,,,,,"Q02207","Q9P4D9","Q01373","Q4PIB3","Q59JZ8",,"Q19058",,"Q9VXJ0",,,"Q98TA2;Q8AYH1",,"O42484",,,"P51659",,,"P51660","P70540;P97852",
P39518,,,,,"P39518",,,,,,,,,,,,,,,,,,,,,
P53941,"Q9S826",,,"O13823","P53941","Q6C804","Q9HEH0","Q4PE46","Q59X74","Q2VLG8","O62518",,"Q9VBY2;Q95SD3",,,"Q6DI25","Q6NTP0",,,,"Q3ZTT3",,,"Q8VHZ7","Q5PQR5",
P46947,,,,"O94417","P46947",,,,"Q5AL13",,,,,,,,,,,,,,,,,
Q05892,,,,,,,,,,,,,,,,,,,,,,,,,,
P40522,,,,,"P40522",,,,,,,,,,,,,,,,,,,,,
Q06252,,,,,"Q06252;P14306",,"Q9P6X9",,,,,,,,,,,,,,,,,,,
P40019,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12099,,,,"Q10055","Q12099","Q6C347","Q9P735","Q4P184","Q5A9Z6",,,,,,,,,,,,,,,,,
P02400,,,,,"P02400","Q6C2R2",,,"Q5ANH5;Q9HFQ4",,,,,,,,,,,,,,,,,
Q03674,,,,,,,,,,,,,,,,,,,,,,,,,,
P39727,,,,"Q09895","P39727","Q6CC27","Q7SFL1","Q4P4R7",,,,,,,,,,,,,,,,,,
P40046,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07967,,,,,,,,,,,,,,,,,,,,,,,,,,
P30822,"Q9SMV6;Q9M9N0;Q94IV0",,,"P14068","P30822","Q6C278","Q7RWC2;Q872T2","Q4PAK4","Q9P8X1",,"Q23089","Q17L27","Q9TVM2",,,,"Q9PW90;Q6NS03",,,,"O14980",,,"Q6P5F9","Q80U96",
P24719,,,,,"P24719",,,,,,,,"O61267;A4V0X0",,,,,,,,"Q96EP1;Q9Y4F5",,,"Q810L3",,
P36013,,,,"P40375","P36013","Q6C5F0","Q7SHJ8",,,,,,,,,,,,,,,,,,,
P31539,,,,,"P31539",,,,,,,,,,,,,,,,,,,,,
P43535,,,,"O59672","P43535","Q6C754","Q7RZG5","Q4P7Y9","Q5ABB0",,"Q20306","Q16T85","Q9VW13",,,,"Q5U5A7;Q5XHC9;Q7ZX02",,,,"Q9NUQ8",,,"Q8K268","Q66H39",
Q05777,,,,,,,,,,,,,,,,,,,,,,,,,,
P19146,,,,,"P19146;P11076",,,,,,,,,,,,,,,,,,,,,
Q3E7X9,,,,"Q10421","Q3E7X9;P0C0X0","Q6CCZ9","Q7S6W5","Q4PGJ1",,,,,,,,,,,,,,,,,,
P36132,"O49653",,,"O94637","P36132","Q6CCZ5","Q7S745",,"Q5A6A4",,"Q9BL28","Q17JQ2;Q17JQ4","Q9VV41",,,"Q561S3;Q5RHZ6","Q7SYR1",,,,"Q9NPF4",,,"Q58EU1;Q3UQ67;Q8BWU5","Q9WVS2",
P40458,,,,,,,,,,,,,,,,,,,,,,,,,,
P24004,"Q9FQ60;Q9FNP1",,,"O74941","P24004","Q9UV06","Q7SD08","Q4P6S2","Q5AH73",,"Q17916","Q17MW1","Q9Y090;Q9VUC7",,,,"Q6GQJ1",,,,"Q96S69;Q96S70;O43933",,,"Q5BL07",,
P28496,,,,,,,,,,,,,,,,,,,,,,,,,,
P33892,"Q3ED34",,,"Q10105;O14089","P33892","Q6C8Q9","Q7S5P0",,"Q5A5R9",,"Q9BL71","Q177C0",,,,"Q7T160",,,,,"Q92616",,,"Q3UHQ5;Q8CHH7",,
Q08271,,,,,"Q08271",,,,"Q9P8R2",,,,,,,,,,,,,,,,,
Q02196,,,,"Q9P7G9","Q02196",,,,,,,,,,,,,,,,,,,,,
P31379,,,,,"P31379",,,,,,,,,,,,,,,,,,,,,
P38206,,,,,"P38206","Q6C6S3",,,"Q5A6N8",,"Q23444","Q16JA3","Q9Y123",,,,,,,,"Q96AA3",,,"Q8C3B8",,
Q07657,,,,,"Q07657",,,,"Q59VX8;Q8NJ83",,,,,,,,,,,,,,,,,
P39683,,,,"Q9UTK3","P39683","Q6CG74","Q7SI03","Q4P613","Q5A0B9",,,,,,,,,,,,,,,,,
P27351,,,,,"P27351","Q6C5S4","Q7S8H6","Q4P6L4",,,,,,,,,,,,,,,,,,
P39983,,,,,,,,,,,,,,,,,,,,,,,,,,
P32264,,,,,"P32264",,,,,,,,,,,,,,,,,,,,,
Q03262,,,,"O74478","Q03262","Q6C7B1",,,"Q5ADV2",,,,,,,,,,,,,,,,,
P23776,,,,"Q10444","P23776",,,"Q4PG87","P29717",,,,,,,,,,,,,,,,,
P42836,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06488,,,,,"Q06488",,,,,,,,,,,,,,,,,,,,,
P11163,,,,"Q8NKC0;P87015;Q8TFF8;Q9UTS7;Q9USN7","P38986;P11163",,,,,,,,,,,,,,,,,,,,,
Q08924,,,,,,,,,,,,,,,,,,,,,,,,,,
P47175,,,,,"P47175",,,,,,,,,,,,,,,,,,,,,
P33309,,,,,"P33309",,,,,,,,,,,,,,,,,,,,,
P32474,,,,,"Q6B1W0;P32474;P17967",,,,,,,,,,,,,,,,,,,,,
P29468,,,,"Q10295","P29468",,"Q7S2Y6",,"Q9UW26;O42617",,,,,,,,,,,,,,,,,
Q3E768,,,,,,,,,,,,,,,,,,,,,,,,,,
P47131,,,,,"P47131",,,"Q4PGB3",,,,,,,,,,,,,,,,,,
P39904,,,,,"P39904",,,,,,,,,,,,,,,,,,,,,
Q08347,,,,,"Q08347",,,,,,,,,,,,,,,,,,,,,
Q08202,"Q9C8D7",,,"O60175","Q08202","Q6C3R8","Q7SAL3",,"Q5A363",,,"Q16RI1","Q9W0C7",,,"Q568T4","Q6DCU7","Q5ZK09",,,"Q53FT3",,,"Q9DD02",,
P41805,,,,"Q09127;Q9P769","P41805","Q6C986","Q7S7F0","Q4P991","Q5AIB8",,,,,,,,,,,,,,,,,
P40318,,,,,"P40318",,,,"Q5A5A5",,,,,,,,,,,,,,,,,
Q06263,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08980,,,,,"Q08980",,,,,,,"Q16TQ5","Q9VGN6",,,,,,,,"Q2M3R5",,,"Q8BY79",,
Q8TFA4,,,,,,,,,,,,,,,,,,,,,,,,,,
P03876,,,,,"P03876",,,,,,,,,,,,,,,,,,,,,
P27929,,,,"O60063","P27929","Q6CF39","Q7SA90",,"Q5A6Q6",,,,,,,,,,,,,,,,,
P48525,,,,"Q9HDX9","P48525","Q6C5H9","Q7RXX9",,"Q59UK0;Q59UE9",,"O44413","Q178Z5","Q9VV59;Q8MZ14",,,"Q0P499",,"Q5ZJ66",,,"Q5JPH6;Q86YH3",,,"Q9CXJ1;Q6ZPF8",,
Q08974,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12108,,,,,,,,,,,,,,,,,,,,,,,,,,
P53193,"Q8L7K4;Q9FNG7",,,"Q9UTL6","P53193","Q6CAT1","Q7S0P9","Q4P2Y9","Q5ACW3",,"Q21324","Q17CP6",,,,,"Q6GM83",,,,"Q8IWL3",,,"Q3V294;Q8K3A0",,
P25372,,,,,"P25372","Q6C399",,,,,,,,,,,,,,,,,,,,
P39976,"O23240",,,"Q9C1X2","P39976;P46681","Q6CCU5","Q7RYX6",,,,"Q20777",,"O46096",,,,,,,,"Q8N465",,,"Q8CIM3",,
P53267,,,,,"P53267",,,,,,,,,,,,,,,,,,,,,
