E. coli K12 gene,"Pseudomonas aeruginosa","Pseudomonas fluorescens","Salmonella typhimurium","Yersinia pestis","Vibrio cholerae","Vibrio fischeri ES114","Vibrio fischeri MJ11","Haemophilus influenzae","Rickettsia prowazekii","Helicobacter pylori","Staphylococcus aureus","Bacillus subtilis","Bacillus anthracis","Streptococcus pneumoniae","Deinococcus radiodurans","Chlamydia trachomatis","Chlamydophila pneumoniae","Aquifex aeolicus","Thermotoga maritima","Mycobacterium tuberculosis","Nocardia farcinica","Streptomyces coelicolor","Borrelia burgdorferi","Treponema pallidum","Mycoplasma genitalium","Mycoplasma pneumoniae","Sulfolobus solfataricus","Aeropyrum pernix","Halobacterium salinarum","Pyrococcus furiosus"""
PT1P_ECOLI,"Q2VT49;Q9X4P3","Q5RLL7","P37178","Q8ZHU9/17-154;16121097","Q9KU52","Q5E7P4",,,,,,,,,,,,,,,,,,,,,,,,
PT1_ECOLI,,,"P0A249","16123175","Q9KTD7","Q5E3K5;Q5E3K6",,"P43922",,,"P51183","P08838","Q81MI1",,,"O84340","Q9Z9E3",,,,,,"O51508",,"P47668","P75168",,,,
PTFAH_ECOLI,,,,"16121580",,,,,,,,,,,,,,,,,,,,,,,,,,
PTFBC_ECOLI,,,"Q8ZNK5",,,,,,,,,,,,,,,,,,,,,,,,,,,
PTFX2_ECOLI,,,"Q8ZKM7","16120739;Q74PV8;Q8CZM8",,,,,,,,,,,,,,,,,,,,,,,,,,
PTGA_ECOLI,,,,"16123176","Q9KTD8",,,,,,,,,,,,,,,,,,,,,,,,,
PTHA_ECOLI,,,"Q8ZMK1",,,,,,,,,,,,,,,,,,,,,,,,,,,
PTHB_ECOLI,,,"Q8ZMK2",,,,,,,,,,,,,,,,,,,,,,,,,,,
PTH_ECOLI,"Q9HVC3",,"P0A281","Q8ZEY4","Q9KQ21","Q5E6T8",,"P44682",,,,,,,,,,,,,,,,,,,,,,
PTIBC_ECOLI,,,,,,,,,,,,,,"Q97S38",,,,,,,,,,,,,,,,
PTKA_ECOLI,,,"Q8ZLV0",,,,,,,,,,,,,,,,,,,,,,,,,,,
PTKB_ECOLI,,,"Q8ZLU9",,,,,,,,,,,,,,,,,,,,,,,,,,,
PTM3C_ECOLI,,,,"16124182","Q9KKQ7",,,,,,,,,,,,,,,,,,,,,,,,,
PTMA_ECOLI,,,,"16124182","Q9KKQ7",,,,,,,"P42956",,,,,,,,,,,,,,,,,,
PTNAB_ECOLI,,,"Q8ZP03","16122014;Q74UR6",,,,,,,,,,,,,,,,,,,,,,,,,,
PTOCB_ECOLI,,,,,,"Q5E432",,,,,,,,,,,,,,,,"Q9RL52",,,,,,,,
PTPS_ECOLI,"Q9I0H2",,"Q7CPW5","Q8D199","Q9KSF7","Q5E5P1","A9I3G7",,,,,,,,,,,,,,,,,,,,,,,
PTQA_ECOLI,,,"Q8ZPU3","16122885","Q9KSH3",,,,,,,,,,,,,,,,,,,,,,,,,
PTQB_ECOLI,,,,"Q8D113",,,,,,,,,,,,,,,,,,,,,,,,,,
PTQC_ECOLI,,,"Q8ZPU4","Q7CJS1",,,,,,,,,,,,,,,,,,,,,,,,,,
PTRA_ECOLI,,,"Q8ZMB5","Q7CH00",,,,,,,,,,,,,,,,,,,,,,,,,,
PTRB_ECOLI,,,"Q8ZNW9","Q8D097",,,,,,,,,,,,,,,,,,,,,,,,,,
PTSN_ECOLI,"1072995;Q9HVV4",,,"Q8D1Q4;16123727","O30653;Q9KP48",,,"P45072",,,,,,,,,,,,,,,,,,,,,,
PTTBC_ECOLI,,,,"16123836","Q9KTJ2",,,,,,,,,"Q97NW9",,,,,,,,,,,,,,,,
PTW3C_ECOLI,,,"Q8ZQX6","Q7CJU2",,,,,,,,,,,,,,,,,,,,,,,,,,
PTYBC_ECOLI,,,"Q8ZN26",,"Q9KVD9","Q5E5T6",,,,,,"Q797S1;Q45579","Q81UP0",,,,,,,,,,,,,,,,,
PUR1_ECOLI,"Q51342;Q9FAY4",,"Q8ZNC2","16122976","Q9KT99","Q5E460",,"P43854",,,,,,,,,,,,,,,,,,,,,,
PUR2_ECOLI,"Q9HUV8",,"P26977","Q8ZAR2","Q9KV81","Q5E256",,"P43845",,"O25817",,"P12039","Q81ZG7","Q97T98","Q9RUF5",,,"O66949","Q9X0X7","P65893",,"Q9RKL4",,,,,,,,
PUR4_ECOLI,"Q9HXN2",,"P74881","Q8ZCQ2","Q9KTN2","Q5E749","B5FAZ8","P43847",,,,,,,,,,,,,,,,,,,,,,
PUR9_ECOLI,"Q9HUV9",,"P26978","Q8ZAR3","Q9KV80","Q5E257",,"P43852",,,,,,,,,,,,,,,,,,,,,,
PURA_ECOLI,"Q9HUM6",,"P65882","Q8ZIV7","Q9KNX8","Q5E2D3","A9IKY3","P45283",,,,,,,,,,,,,,,,,,,,,,
PURK_ECOLI,"P72158",,"Q8ZR71","16123254","Q9KVT8","Q5E1R3",,"P43850",,,,,,,"Q9RYC6",,,"O66608",,,,,,,,,"O06457",,,
PURR_ECOLI,,,"O68446","Q7CIS2","Q9KRC1","Q5E4H9",,"P46456",,,,,,,,,,,,,,,,,,,,,,
PURT_ECOLI,"Q9HXP3",,"Q8ZNW5","16122029;Q7CHW4","Q9KSM8","Q5E4R4",,,,,,"P39771",,,,,,,,"P95197",,,,,,,"Q981B9",,,"Q8U3M7"""
PURU_ECOLI,,,"Q8ZP42","Q8D0G6","Q9KQK6","Q5E437",,"Q03432",,"O25975",,,,,,,,,,,,,,,,,,,,
PUTA_ECOLI,,,"P10503","NP_405415",,,,,,,,,,,,,,,,,,,,,,,,,,
PUTP_ECOLI,"Q9I5F5","Q57023","P10502",,,,,,,,,,,,,,,,,,,,,,,,,,,
PUUC_ECOLI,"Q9HTP2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUUE_ECOLI,"O30508",,,"16123039;Q8D0Y8",,,,,,,,,"Q81M98",,,,,,,,,,,,,,,,,
PYRC_ECOLI,"P72170",,"P06204","Q8ZFU4",,,,,,"P56465",,,,,,,,,,,,,,,,,,,,
PYRF_ECOLI,"540956;Q59654",,"68020;P07691","P58644","Q9KQT7","Q5E3Z6",,"P43812",,"P56155",,"P25971","Q81WF5","Q9ZHA7",,,,,,,"Q5YME5",,,,,,,,,
PYRG_ECOLI,"Q9HXZ4",,"P65921","Q8ZBN1","Q9KPC4","Q5E325",,"P44341",,"O25116",,"P13242","Q81JW1","Q97S93","Q9RU23","1361312;Q59321","Q9Z8U8","O67353","Q9WZR0",,,,"O51522",,,,"Q980S6","Q9YBJ4","Q9HP32","Q8TZY6"""
PYRH_ECOLI,,,,"Q8ZH64","Q9KPV4","Q5E3E1",,"P43890","Q9ZE07",,,,"Q81WL0",,,,,,,,,"O69913",,,,,,,"Q9HNN8","Q8U122"""
Q0H0G7_ECOLI,,,"Q7CQF3","Q8ZEJ1",,"Q5E4F2",,"P44309",,,,,,,,,,,,,,"O50519",,,,,,,,
Q2A0K9_ECOLI,"Q9HW85",,"Q8ZNR2","Q8D081;Q74V83","Q9KSM2","Q5E4R9",,"P45188",,,,,,,,,,,,,,,,,,,,,,
Q2A0L0_ECOLI,"Q9HW85",,"Q8ZNR2","Q8D081;Q74V83","Q9KSM2","Q5E4R9",,"P45188",,,,,,,,,,,,,,,,,,,,,,
QMCA_ECOLI,,,"Q8ZR94","Q7CJZ6","Q9KTC6",,,,,,,,,,,,,,"Q9WZX0",,,,,,,,,,,
QOR_ECOLI,"P43903",,"P40783","Q8D1F2;Q8ZJ12",,,,,,,,,,,,,,,,,,,,,,,,,,
QSEB_ECOLI,,,,,,,,"P45337",,,,,,,,,,,,,,,,,,,,,,
QSEC_ECOLI,,,"Q8ZLZ9",,,,,"P45336",,,,,,,,,,,,,,,,,,,,,,
QUEC_ECOLI,,,"Q7CR22","Q8ZC72","Q9KS93","Q5E4H1",,"P44124;Q9RP29",,"O25356",,"O31675","Q81TC7",,,,,,,,,,,,,,,,,
QUEF_ECOLI,,,"Q8ZMD3","Q8ZH75","Q9KTK0","Q5E7A3",,"P44153",,,,,,,,,,,,,,,,,,,,,,
RADA_ECOLI,"P96963",,"P24517",,"Q9KPM4","Q5E7H3",,"P45266","Q9ZD04",,,"P37572","Q81VV8",,,,,"O66827","Q9WY42",,,,,"O83985",,,,,,
RADC_ECOLI,"Q9HTN5",,"P65960",,"Q9KVC9","Q5E8M5",,"P44952",,,,,,,,,,,,,,,,,,,,,,
RAIA_ECOLI,,,,"16123436","Q9KU23",,,"P71346",,,,,,,,,,,,,,,,,,,,,,
RAPA_ECOLI,"Q9HYT6",,"Q8ZRV8",,"Q9KP70","Q5E881",,"P44781",,,,,,,,,,,,,,,,,,,,,,
RARD_ECOLI,"Q9I633","O05135","Q9L6P1","Q8D1J7","Q9KVF1","Q5E8T2",,,,,,"Q7BV99;O31859","Q81YD6",,,,,,,,"Q5YYW2","Q9F2W9",,,,,,,,
RAVA_ECOLI,,,"Q8ZKW2","Q8ZJT1","Q9KLI1","Q5E078",,,,,,,,,,,,,,,"Q5YMD0","Q9F393",,,,,,,,
RBFA_ECOLI,"Q9HV56",,"Q8ZLT1",,"Q9KU79","Q5E7L4",,"P45141",,,,,,,,,,,,,,,,,,,,,,
RBSA_ECOLI,,,"Q8ZKV9",,"Q9KN37","Q5E4V6",,"P44735",,,,"P36947","Q81V36",,,,,,,,,,,,,,,,,
RBSB_ECOLI,,,"1070661",,"Q9KN35","Q5E4V4",,"P44737",,,,"P36949","Q81V34",,,,,,,,,"Q9RDI0",,,,,,,,
RBSD_ECOLI,,,,,"Q9KN38","Q5E4V7",,"P44734",,,,"P36946",,,,,,,"Q9X054",,,"Q9RDH8",,,,,,,,
RBSK_ECOLI,"Q9I2F4",,"Q8ZKV8","Q7CLE4;16120361","Q9KN34","Q5E4V3",,"P44331",,,,"P36945",,,,,,,"Q9X055",,,,,,,,,,,
RCNA_ECOLI,,,"Q8ZM94",,,,,,,,,,,,,,,,,,,,,,,,,,,
RCSF_ECOLI,,,"Q7CR61",,,,,,,,,,,,,,,,,,,,,,,,,,,
RDGB_ECOLI,"Q9I6A8",,"Q8ZM45","Q8ZHF4","Q9KUQ9","Q5E7S6",,"P44598",,,,"P94558","Q81LB0",,,"O84611","Q9Z7D1",,,,,,,,,,,,,
RECA_ECOLI,,,,,"Q9R2W9;Q9S4R6;Q8G8J4;P45383;Q8GN35","Q5E7G6",,,,,,,,,,,,,,,,,,,,,,,,
RECE_ECOLI,"Q9HYD5;O68829",,,"Q8ZG09","Q9KSR8",,,,,,,,,,"Q9RYN4;Q9RRB1",,,,,,,,,,,,,,,
RECF_ECOLI,"Q9I7C3",,"P24900","Q8Z9U9","Q9KVX4","Q5E8Z0",,"P43767",,,,,,,,,,,,,,,,,,,,,,
RECG_ECOLI,,,"Q8ZL39","16120389","Q9L525;Q9KNM1","Q5E1Z1",,"P43809","Q9ZCW1",,,,"Q81WI3",,,,,"O67837","Q9WY48",,,,"O51528",,,,,,,
RECJ_ECOLI,"Q9HXR7",,"P28355","16121195","Q9KPF1","Q5E7Q1",,"P45112",,,,,,,,,,,,,,,,,,,,,,
RECN_ECOLI,"Q9HV41",,"Q8ZMW1","Q8CZZ7;Q0WHU0",,"Q5E3A3",,"P44496","Q9ZDY2",,,,,,"Q9WXF2",,,,,,"Q5YY97","Q9S220",,"O83456",,,,,,
RECQ_ECOLI,,,"P40724",,"Q9KVF0","Q5E8T1",,"P71359",,,,,,,"Q9RUU2",,,,,,"Q5YR57",,,,,,,,,
RECT_ECOLI,,,,,,,,,,,,,,,,,,,,,"Q5YSE8",,,,,,,,,
RECX_ECOLI,"P37860","P37861","Q8ZMK5",,"Q56647",,,"P43706",,,,"O31575","Q81YW4","Q97NV7","Q9RUS2",,,,"Q9X2H3",,"Q5YT02","O50488",,,,,,,,
RELE_ECOLI,,,"Q7CP79",,,,,,,,,,,,,,,,,,,,,,,,,,,
REPE1_ECOLI,"1073009",,"Q9KI74",,,,,,,,,,,,,,,,,,,,,,,,,,,
RF1_ECOLI,"P42806",,"P0A287","Q8ZEX8","Q9KQ25","Q5E6T3","A9IHA2","P43917",,,,,,,,,,,,,,,,,,,,,,
RF2_ECOLI,,,,"Q8ZHK4",,,,"P43918","Q9ZDQ2","P55999",,"P28367",,,,"O84465;Q6J517","P56906",,"Q9X1R5",,,,"O51101",,,,,,,
RFAC_ECOLI,,,"P26469","Q8D1S3",,,,,,,,,,,,,,,,,,,,,,,,,,
RFAF_ECOLI,,,"P37421","Q8D1S4;Q0WKN5",,,,"Q48229;P45042",,,,,,,,,,,,,,,,,,,,,,
RFAJ_ECOLI,,,"P19817",,,,,,,,,,,,,,,,,,,,,,,,,,,
RFAQ_ECOLI,,,"O68270",,,,,,,,,,,,,,,,,,,,,,,,,,,
RFAY_ECOLI,,,"P26472",,,,,,,,,,,,,,,,,,,,,,,,,,,
RFAZ_ECOLI,,,"P26473",,,,,,,,,,,,,,,,,,,,,,,,,,,
RFBC_ECOLI,,,"P26394",,,,,,,,,,,,,,,,,,,,,,,,,,,
RFFC_ECOLI,,,"Q9L6R1","Q0WAF0;Q8D1K3","Q8RTH0",,,,,,,,,,,,,,,,,,,,,,,,,
RFFG_ECOLI,,,"Q9L6R3","Q8D1K5;Q8ZAE5","Q842R8;Q06BC9;Q842S2;Q842R5;Q842Q5;Q842P0;Q842P7;Q842R1;Q842Q0;Q842Q8;Q06B97","Q5E8I5",,,,,,,,,,,,,,,,,,,,,,,,
RHAA_ECOLI,,,"P27031","P58507",,,,,,,,"O05264",,,,,,,"Q9X0G0",,"Q5YUK1","Q9XAB3",,,,,,,,
RHAB_ECOLI,,,"P27030","Q8ZJ02",,,,,,,,"O05262",,"Q97N88",,,,,"Q9X0G2",,,"Q9XAB1",,,,,,,,
RHAD_ECOLI,,,"Q8ZKS1","Q8ZJ03",,,,,,,,,,,,,,,"Q9X0G1",,,,,,,,,,,
RHAM_ECOLI,,,,"Q0WJY2",,,,,,,,,,,,,,,,,,,,,,,,,,
RHAT_ECOLI,,,"P27135","Q8ZIZ8",,,,,,,,,,,,,,,,,,,,,,,,,,
RHLB_ECOLI,"Q9HXE5",,"P0A2P0",,"Q9KV52",,,,,,,,,,,,,,,,,,,,,,,,,
RHLE_ECOLI,,,"Q8ZQN8","Q93AA5;Q74WA6","Q9KMW4","Q5E175",,,,,,,,,,,,,,,,,,,,,,,,
RHO_ECOLI,"Q9HTV1",,,"16124002","Q9KV50","Q5E8U3",,"P44619",,,,,,,,,,,,,,,,,,,,,,
RHTC_ECOLI,,,"Q9L6N7",,,,,,,,,,,,,,,,,,,,,,,,,,,
RIBF_ECOLI,,,,,,,,,,,,"P54575;1710295","Q81WM6",,"Q9RVL9","O84095",,"O66535","Q9WZW1","O33328",,"Q9Z530",,,,"P75587",,,,
RIHA_ECOLI,,,"Q8ZQY4",,,,,,,,,,,,,,,,,,,,,,,,,,,
RIHC_ECOLI,,,"Q8ZRY7",,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMI_ECOLI,"Q9HVB7",,"Q8ZJW4",,,,,,,,,"O05517","Q81VE8",,,,,"O66838",,,,,,,,,,,"Q9HMF0","Q8U428"""
RIML_ECOLI,,,,,,"Q5E556",,,,,,,,,,,,,,,,,,,,,,,,
RIR1_ECOLI,,,"P37426","Q7CH95","Q9KSK0","Q5E5J9",,"P43754",,,,,,,,,,"O66503",,,,,,,,,,,,
RIR3_ECOLI,,,"421243;Q08698","Q8D117;16122858;Q0WDN7",,,,,,,,,,,,,,,,"P0A5W8","Q5YRN5",,,,"P47473","P78027",,,,
RIR4_ECOLI,,,"P17424","16122857",,,,,,,,,,,,,,,,,,,,,,,,,,
RISA_ECOLI,,,"Q8ZPP1","16122614",,"Q5E4Y7",,"P45273",,,,,,,,,,,"Q9X2E7",,,,,,,,,,,
RL11_ECOLI,"Q9HWC5",,,"Q8ZAP1","Q9KV34","Q5E232",,"P44351",,,,,,,,,,,,,,,,,,,,,,
RL14_ECOLI,"Q9HWE5",,"Q7CPL5","Q7CFT7",,,,,,,,,,,,,,,,,,,,,,,,,,
RL15_ECOLI,"Q9HWF4",,,"Q8ZJ93","Q9KP03","Q5E895",,"P44353",,,,"P19946",,,,,,"O67561","Q9X1J0","P95071","Q5Z1Q3","P46787",,"O83237",,"Q50300",,,,
RL17_ECOLI,"O52761",,"Q7CPL7","Q7CFS8","Q9KP09","Q5E888","B5FGE2","P44355",,,,,,,,"P47760",,,,,,,,,,,,,,
RL21_ECOLI,,,,"Q0WBD7",,"Q5E873",,"P44359",,,,,,,,,,,,,,,,,,,,,,
RL25_ECOLI,"Q9HVC4",,,"Q8ZGM4","Q9KRK0","Q5E6I9",,"P45281",,,,,,,,,,,,,,,,,,,,,,
RL27_ECOLI,"Q9HVL7",,,,"Q9KUS9","Q5E872",,"P44363","Q9ZCI8","P56050","Q93EN9","P05657","Q81LE8","P66135","Q9RY65",,"Q9Z807","O67650","Q9X1G7","P66127","Q5Z042","Q9L1I1",,"O83725","P47476","P75458",,,,
RL30_ECOLI,"Q9HWF3",,"P0A2A7","16120565","Q9KP02","Q5E896",,"P44366","Q9ZCS3",,,"P19947",,,"Q9RSL0",,,,"Q9X1J1","P66181","Q5Z1Q4","P46789","O51449",,,,,,,
RL31B_ECOLI,"Q9HY25",,,"P58472","Q9KTM4",,,,,,,,,,,,,,,,,,,,,,,,,
RL3_ECOLI,,,,,"Q9KNY4","Q5E8B5",,"P44344","P48952",,,"P42920",,"Q97SV5","Q9RXK2","O84533","Q9Z7Q7","O66431","P38515",,"Q5Z1W3","Q9L0E0","P94267","O83219","P47397","P75580",,,,
RL5_ECOLI,"Q9HWE7",,"P62405","Q8ZJA0","Q9KNZ6","Q5E8A2",,"P44346",,,,"P12877","Q81VR8","Q97SV1","Q9RXJ0","P28531","Q9Z7R9","O67568","P38517","P62403","Q5Z1S0","Q9L0C8","O51443","O83231","P47409","Q50306",,,,
RL6_ECOLI,"Q9HWF0",,"P66313","16120562;Q7CFT4","Q9KNZ9","Q5E899",,"P44347","Q9ZCS0","P56034",,"P46898","Q81VR5","Q97SU7","Q9RSL3","P25056","Q9Z7S1","O67565","Q9ZAE4","P66311","Q5Z1Q7","P46786","O51446","O83234","P47412","Q50303",,,,
RL7_ECOLI,,,"P0A299","Q8ZAP4",,"Q5E236","B5FC89","P44348",,,,,,,,,,,,,,,,,,,,,,
RLMB_ECOLI,"Q9HUM8",,"Q8ZKA2",,"Q9KNY2",,,"P44906",,,,,,,,,,,,,,,,,,,,,,
RLMF_ECOLI,"Q9HXG4",,"Q8ZQN4","Q7CJ72","Q9KRM2","Q5DYC3",,,,,,,,,,,,,,,,,,,,,,,,
RLPA_ECOLI,,,"Q8ZR01","Q8ZDG6",,,,,,,,,,,,,,,,,,,,,,,,,,
RLUA_ECOLI,"Q9HYZ4",,"Q8ZRV9","Q8ZIK1","Q9KP71","Q5E880",,"P44782",,,,,,,,,,,,,,,,,,,,,,
RLUB_ECOLI,"Q9HZ55",,"Q8ZP51","Q8ZEG0","Q9KSS7","Q5E613",,"P45104","Q9ZD06",,,,,,,,,"O67444",,,,,,,,,,,,
RLUC_ECOLI,"Q9HZM9",,"Q8ZQ16","Q8ZFU1","Q9KQH0","Q5E404",,"P44433",,,,,,,,,,,,,,,,,,,,,,
RLUE_ECOLI,"Q9HX48",,"Q8ZPZ1","Q8ZFQ3","Q9F855","Q5E3X5",,"P44827",,,,,,,,,,,,,,,,,,,,,,
RLUF_ECOLI,,,"Q8ZKL1",,"Q9KPY9","Q5E4I3",,,,,,,"Q6HYV6",,,,,,,,,,,,,,,,,
RMUC_ECOLI,"Q9I4U3",,,"Q8ZAL8","Q9KVQ7",,,,,,,,,,,,,,,,,,,,,,,,,
RNB_ECOLI,,,"Q8ZP54","Q8ZED8","Q9KLE1","Q5E0J3",,"P44440",,,,,,,,,,,,,,,,,,,,,,
RND_ECOLI,"Q9I450",,"Q8ZP09",,"Q9KQL4","Q5E444",,"P44442",,,,,,,"Q9RRP4",,,,,"O07183","Q5YTA3","O69858",,,,,,,,
RNE_ECOLI,"Q9HZM8",,"Q8ZQ17","Q8D0Q9;16121858","Q9KQG8","Q5E403",,"1075219;P44443","Q9ZDR9",,,,,,,,,,,,,,,,,,,,,
RNFB_ECOLI,"Q9HYB9",,"Q8ZPM1","Q8ZEC9","Q9KT87","Q5E6B7",,"P71396",,,,,,,,,,,,,,,,,,,,,,
RNFC_ECOLI,"Q9HYB8",,"Q8ZPM2",,"Q9KT88","Q5E6B8",,"P71397",,,,,,,,,,,,,,,,,,,,,,
RNFD_ECOLI,"Q9HYB7",,"Q8ZPM3","Q8ZED2","Q9KT89","Q5E6B9",,"Q57288",,,,,,,,,,,,,,,,,,,,,,
RNFE_ECOLI,"Q9HYB5",,"P65540",,"Q9KT91","Q5E6C1",,"Q57020",,,,,,,,,,,,,,,,,,,,,,
RNFG_ECOLI,,,,,"Q9KT90","Q5E6C0",,"P44291",,,,,,,,,,,,,,,,,,,,,,
RNH2_ECOLI,"Q9HXY9",,,"Q8ZH54","P52021","Q5E3F3",,"P43808",,,,,,,"Q9RT20",,,,,"Q10793",,"O69989",,,,,,,,
RNH_ECOLI,,,,"Q8ZH30","Q9KPX8","Q5E3G5",,"P43807",,,,,,,,,,,,,,,,,,,,,,
RNPA_ECOLI,"Q9HT05",,,"Q8Z9U4","Q9KVY2","Q5E8Z7",,"P44306","Q9ZCU8","P55997","P0A0H5","P25814","Q81JH0","Q97NI5",,"O84789","Q9Z6X2",,"Q9X1H4","P0A5X8","Q5YMR7","P48206",,,"P47703","P75111",,,,
RNPH_ECOLI,"AAC44429;P50597",,"P0A2C3","Q8ZJP8","Q9KVD6","Q5E8P0",,"P44444","Q9ZCT5",,,"P28619","Q81LA9",,"Q9RU11",,,"O67069",,"Q10628","Q5Z0V1","Q9S2H7",,,,,,,,
RNT_ECOLI,"Q9HY82",,"P66684","Q8ZE08","Q9KT97","Q5E6C6",,"P44639",,,,,,,,,,,,,,,,,,,,,,
RNZ_ECOLI,,,,,,,,,,,,"P54548","Q81M88","Q97RW2",,,,,,,,,,,,,,,,
RODA_ECOLI,,,"Q7CQZ3",,"Q9KTF3","Q5E6V4",,"P44468",,,,,,,,,,,,,,,,,,,,,,
RP32_ECOLI,"P42378",,,"16123945","P50511",,,"P44404",,,,,,,,,,,,,,,,,,,,,,
RP54_ECOLI,,"Q7WUG0","P26979",,"O30651;Q9KP49",,,,,,,,,,,,,,,,,,,,,,,,,
RPE_ECOLI,"Q9I5T1",,"Q8ZLK4","Q8CZJ6",,"Q5E2G3",,"P44756",,,,,,,,,,,,,,,,,,,,,,
RPIA_ECOLI,"Q9I6G1",,"P66692","Q8ZHH8","Q9KP93","Q5E2Z6","A9IAV5","P44725",,,,,,,,,,,,,,,,,,,,,,
RPOA_ECOLI,,,,"Q8ZJ87","Q9KP08;Q5GNV4",,,"P43737",,,,,,,,,,,,,,,,,,,,,,
RPOC_ECOLI,"Q9HWC9",,,"Q8D1H3","Q9KV29","Q5E240",,"P43739","Q9ZE20","O25806",,,,,,"O84316","Q9Z999","O67763",,,,,"O51349","O83270",,,,,,
RPOD_ECOLI,,,,"Q8CZR5;Q74RR1","Q9KUK1","Q5E2J7",,"P43766",,,,,,,,,,,,,,,,,,,,,,
RRF_ECOLI,"O82853",,,"Q8ZH63","Q9KPV5","Q5E3E2",,"P44307",,"P56398",,,,"Q97R82",,,,,"Q9X1B9",,,,"O51147","O83613",,"P75161",,,,
RRMA_ECOLI,"Q9I4H6",,"Q8ZNZ9","Q7CHU8","Q9KQJ5","Q5E3V5",,,,,,,,,,,,,,,,,,,,,,,,
RRMT_ECOLI,"Q9I3F4",,"Q8ZNS5","Q8ZH78",,"Q5E7A8",,"P45100",,,,,,,,,,,,,,,,,,,,,,
RS10_ECOLI,"Q9HWD4",,"P67904","P67906","Q9KNY3","Q5E8B7",,"P67901","P48850",,,"P21471","Q81VT1",,"Q9RXK3",,"Q9Z803",,,,,"P66337","P94266",,,,"P35027","Q9YAV2","P48854","P61885"""
RS11_ECOLI,"Q9HWF8",,"O54296","Q8ZJ89","P66367","Q5E891",,"P44379",,,,,,,,,,"O66485",,,,,"O51454","O83241",,,,,,
RS12_ECOLI,"Q9HWD0",,,,"Q9KUZ9","Q5E8C1",,"P63196",,,,,,,,,,,,,,,,,,,,,,
RS13_ECOLI,"Q9HWF7",,"Q8ZLM1","Q8ZJ90","Q9KP05","Q5E892",,"1075262;P44380","Q9ZCS7","P56020",,"P20282",,,"Q9RSJ9","Q46448","Q9Z7S6","O66486","Q9X1I5",,"Q5Z1L2",,"O51453","O83240","P47421","Q50297",,,,
RS14_ECOLI,"Q9HWE8",,"P66409","Q8ZJ99","Q9KNZ7","Q5E8A1",,"P44381",,,,"O31587",,"P66419","Q9RSL5",,,,,,,,,,,,,,,
RS15_ECOLI,"Q9HV58",,"P66431","Q8ZBC5","Q9KU77","Q5E7L2",,"P44389","Q9ZD44","P56022",,"P21473","Q81WM7","Q97PI9",,"P66427","Q9Z6Q9","O66594","Q9X165","P66429","Q5YSV5","O86655","O51744",,"P47663","P75173",,,,
RS19_ECOLI,"Q9HWD9",,,"Q8ZJA8","Q9KNY8","Q5E8B1",,,,,,,,,,,,,,,,,,,,,,,,
RS1_ECOLI,"Q9HZ71",,,"16121672","Q9KQT3",,,"Q48082","Q9ZD28",,,,,,"Q9RSY6","O84100","Q9Z8M3",,,,,,,"O83303",,,,,,
RS3_ECOLI,"Q9HWE1",,"P0A7V6","Q8ZJA6","Q9KNZ0","Q5E8A9",,"P44372",,,,,,,"Q9RXJ6",,,,,,,,,"O83225","P47403","P41205",,,,
RS4_ECOLI,"O52759",,"O54297","Q8ZJ88","Q9KP07","Q5E890",,"P44373",,,,,,,,,,,,,,,,,,,,,,
RS5_ECOLI,"Q9HWF2",,"P0A7W4","Q8ZJ95","Q9KP01","Q5E897",,"P44374","Q9ZCS2",,,"P21467","Q81VR3","P66581","Q9RSL1","P0A4C8","Q9Z7S3","O67563","Q9X1J2","P66574","Q5Z1Q5","P46790","O51448","O83236","P47414","Q50301",,,,
RS6_ECOLI,"Q9HUM9",,,"Q8ZB81","Q9KUZ2","Q5E2D9",,"P44375",,,,,,,,,,,,,,,,,,,,,,
RS7_ECOLI,"Q9HWD1",,,"Q8ZJB4","Q9KUZ8","Q5E8C0",,"P44376",,,,"P21469","Q81VT4","Q97SQ4","Q9RXK6","P29765","Q9Z801",,"P38526","P41194","Q5YPG2","Q9L0K4",,"O83272","P47334","P75545",,,,
RS8_ECOLI,"Q9HWE9",,"P0A7X0","Q8ZJ98","Q9KNZ8","Q5E8A0",,"P44377",,,,,,,,,,,,,,,,,,,,,,
RS9_ECOLI,,,"P66643","Q8ZB62","Q9KUF0","Q5E2N0",,"P44388",,"P66637",,"P21470","Q81VP8",,,"O84128","Q9Z8T8",,"Q9X1G4",,,,"O51313",,,,,,,
RSEA_ECOLI,"Q51414;P38107;Q51378;Q51413",,"Q8ZMY0",,"Q9KPA7","Q5E309",,"P44791",,,,,,,,,,,,,,,,,,,,,,
RSEB_ECOLI,,,,,"Q9KPA8","Q5E310",,"P44792",,,,,,,,,,,,,,,,,,,,,,
RSGA_ECOLI,"Q9HUL3",,"Q8ZKB0","Q8ZIX0","Q9KV18","Q5E2C1",,"P45339",,,,,,,,,,,,"O05873","Q5YQV0","Q9K4A8",,,,,,,,
RSMB_ECOLI,"Q9I7A9",,"Q8ZLM5","Q8ZJ81","Q9KVU5","Q5E1Q6",,"P44788",,,,"P94464","Q81WH3","Q97PA7",,,,,,"P71675","Q5YTN6","Q9L0Y7",,,,,,,,
